map,card,map_elo_delta,other_maps_elo_delta,difference,approx_standard_error,approx_z_score,map_offers,other_maps_offers
Tharsis,Optimal Aerobraking,0.6583970066445999,0.5550565610848549,0.10334044555974498,0.18134923948605097,0.5698421777373581,4421,4348
Tharsis,Ore Processor,-0.3703948080049013,-0.3203607613627814,-0.05003404664211991,0.18166632619523387,-0.27541728668167775,4584,4305
Tharsis,Permafrost extraction,-0.40166234819205804,-0.35473939086336215,-0.04692295732869589,0.1829559448147375,-0.2564713454717769,4552,4305
Tharsis,Peroxide Power,-0.2832854270953566,-0.25426661545118623,-0.02901881164417036,0.17982883218298049,-0.16136907131022776,4499,4377
Tharsis,Pets,-0.6478934434485601,-0.5294275052799732,-0.11846593816858697,0.18112754915228804,-0.6540470443233537,4633,4330
Tharsis,Phobos Space Haven,-0.47052223840829643,-0.6934175404480925,0.22289530203979602,0.18268266041152023,1.22012292539254,4540,4346
Tharsis,Physics Complex,-0.4275178768610359,-0.35551677297398815,-0.07200110388704772,0.18190359228140787,-0.39582013188426113,4633,4362
Tharsis,Plantation,-0.6014966869828627,-0.19878333742721027,-0.40271334955565247,0.1828965367860634,-2.201864270545001,4609,4222
Tharsis,Power Grid,-0.09165102391324542,-0.4347996625493257,0.3431486386360803,0.18340671281772725,1.8709709877255547,4541,4261
Tharsis,Power Infrastructure,-0.3852861915236004,-0.3334133824213604,-0.05187280910223996,0.1810232378784468,-0.28655331608349327,4586,4323
Tharsis,Power Plant,0.21128709301040052,-0.1295594303727184,0.34084652338311894,0.1799262564142128,1.8943678936911104,4525,4443
Tharsis,Power Supply Consortium,-0.34497157761534486,-0.32729436461740935,-0.01767721299793551,0.18042621965094796,-0.0979747457555437,4540,4296
Tharsis,Predators,-0.22554223730236675,-0.35842530560645275,0.132883068304086,0.18269756097032913,0.7273390383447252,4541,4291
Tharsis,Protected Habitats,-0.613100828890065,-0.604980279691801,-0.008120549198263993,0.18254359325073988,-0.04448553385880651,4573,4355
Tharsis,Protected Valley,0.25928270900764594,-0.14930963797437646,0.4085923469820224,0.17970482376078956,2.2736860281831492,4557,4351
Tharsis,Psychrophiles,0.5564080107412426,0.9803105823141403,-0.4239025715728977,0.1835994851128082,-2.308844010714089,4557,4237
Tharsis,Quantum Extractor,0.48420332415867584,0.41064969159889103,0.07355363255978481,0.18515781846779472,0.3972483212885677,4625,4305
Tharsis,Rad-Chem Factory,-0.3127790413109195,-0.4735586456582267,0.1607796043473072,0.18077777096659442,0.889377070464141,4581,4440
Tharsis,Rad-Suits,-0.4930839653349174,-0.24505900847983306,-0.24802495685508433,0.18299877405620582,-1.3553367126869742,4537,4246
Tharsis,Regolith Eaters,-0.1173832880489023,-0.3370873673059194,0.21970407925701713,0.18285354241046253,1.2015303415004885,4493,4354
Tharsis,Release of Inert Gases,-0.245089674323748,-0.23066553375313875,-0.014424140570609256,0.18248252805437704,-0.07904395409466862,4577,4342
Tharsis,Research,0.7158830785010495,0.6597004582305235,0.05618262027052601,0.18193766366477984,0.30880148254537604,4612,4439
Tharsis,Research Coordination,-0.1321243461970506,0.2362353143941758,-0.3683596605912264,0.1822402578793045,-2.0212858831399725,4491,4353
Tharsis,Research Outpost,1.860893954710865,1.9316350819039219,-0.07074112719305692,0.178544283597016,-0.39621054098110153,4594,4389
Tharsis,Restricted Area,2.095517674570414,2.0353348237345585,0.060182850835855284,0.17982477166134717,0.334674974308845,4631,4386
Tharsis,Robotic Workforce,0.4265323867581266,0.36290040785668226,0.06363197890144434,0.17935290911660445,0.35478643315495184,4586,4261
Tharsis,Rover Construction,-0.46083159840433663,-0.46768197066390466,0.006850372259568027,0.18185101264522666,0.03767024532842402,4450,4403
Tharsis,SF Memorial,-0.42808867968668235,-0.326245484389627,-0.10184319529705532,0.18528651741929936,-0.5496524880252694,4442,4174
Tharsis,Sabotage,0.19093389867023022,0.16502407113678058,0.025909827533449642,0.18313960763389894,0.1414758274749834,4511,4296
Tharsis,Satellites,-0.33054062874614565,-0.03635585792525953,-0.2941847708208861,0.18216262470643754,-1.614956807385581,4513,4291
Tharsis,Search For Life,-0.40977983933268436,-0.420965385577657,0.011185546244972644,0.18420439712855124,0.06072355719699001,4575,4334
Tharsis,Security Fleet,-0.4373433946695964,-0.4402198801766041,0.002876485507007698,0.18290376223883342,0.01572677058032092,4532,4312
